"tvelx-rfile"
"Time Step" "tvelx etc.."
("Time Step" "tvelx(t1)" "tvelx(t2)" "flow-time")
11373 -1.257285e-08 0 11.37415
11374 -1.257285e-08 0 11.37515
11375 -1.303852e-08 0 11.37615
11376 -1.350418e-08 0 11.37715
11377 -1.350418e-08 0 11.37815
11378 -1.257285e-08 0 11.37915
11379 -1.327135e-08 0 11.38015
11380 -1.350418e-08 0 11.38116
11381 -1.327135e-08 0 11.38216
11382 -1.303852e-08 0 11.38316
11383 -1.280569e-08 0 11.38416
11384 -1.350418e-08 0 11.38516
11385 -1.373701e-08 0 11.38616
11386 -1.303852e-08 0 11.38716
11387 -1.327135e-08 0 11.38816
11388 -1.350418e-08 0 11.38916
11389 -1.373701e-08 0 11.39016
11390 -1.327135e-08 0 11.39116
11391 -1.303852e-08 0 11.39216
11392 -1.327135e-08 0 11.39316
11393 -1.327135e-08 0 11.39416
11394 -1.303852e-08 0 11.39516
11395 -1.327135e-08 0 11.39616
11396 -1.373701e-08 0 11.39716
11397 -1.396984e-08 0 11.39816
11398 -1.350418e-08 0 11.39916
11399 -1.327135e-08 0 11.40016
11400 -1.350418e-08 0 11.40116
11401 -1.350418e-08 0 11.40216
11402 -1.327135e-08 0 11.40316
11403 -1.303852e-08 0 11.40416
11404 -1.44355e-08 0 11.40516
11405 -1.396984e-08 0 11.40617
11406 -1.396984e-08 0 11.40717
11407 -1.373701e-08 0 11.40817
11408 -1.396984e-08 0 11.40917
11409 -1.327135e-08 0 11.41017
11410 -1.350418e-08 0 11.41117
11411 -1.350418e-08 0 11.41217
11412 -1.350418e-08 0 11.41317
11413 -1.327135e-08 0 11.41417
11414 -1.396984e-08 0 11.41517
11415 -1.396984e-08 0 11.41617
11416 -1.373701e-08 0 11.41717
11417 -1.373701e-08 0 11.41817
11418 -1.396984e-08 0 11.41917
11419 -1.420267e-08 0 11.42017
11420 -1.396984e-08 0 11.42117
11421 -1.396984e-08 0 11.42217
11422 -1.327135e-08 0 11.42317
11423 -1.396984e-08 0 11.42417
11424 -1.350418e-08 0 11.42517
11425 -1.327135e-08 0 11.42617
11426 -1.373701e-08 0 11.42717
11427 -1.373701e-08 0 11.42817
11428 -1.350418e-08 0 11.42917
11429 -1.373701e-08 0 11.43017
11430 -1.350418e-08 0 11.43118
11431 -1.420267e-08 0 11.43218
11432 -1.396984e-08 0 11.43318
11433 -1.396984e-08 0 11.43418
11434 -1.373701e-08 0 11.43518
11435 -1.420267e-08 0 11.43618
11436 -1.396984e-08 0 11.43718
11437 -1.396984e-08 0 11.43818
11438 -1.396984e-08 0 11.43918
11439 -1.420267e-08 0 11.44018
