"tvelmax-rfile"
"Time Step" "tvelmax etc.."
("Time Step" "tvelmax(t1)" "tvelmax(t2)" "flow-time")
16009 0.5885683 0 16.01201
16010 0.585789 0 16.01301
16011 0.5831832 0 16.01401
16012 0.5807405 0 16.01501
16013 0.5784503 0 16.01601
16014 0.5763034 0 16.01701
16015 0.5742905 0 16.01801
16016 0.5724034 0 16.01901
16017 0.5706344 0 16.02001
16018 0.5689759 0 16.02101
16019 0.5674211 0 16.02201
16020 0.5659634 0 16.02301
16021 0.5645968 0 16.02401
16022 0.5633156 0 16.02501
16023 0.5608605 0 16.02601
16024 0.5585588 0 16.02701
16025 0.556401 0 16.02801
16026 0.5543779 0 16.02901
16027 0.5524814 0 16.03
16028 0.5507034 0 16.031
16029 0.5490365 0 16.032
16030 0.5474738 0 16.033
16031 0.5460088 0 16.034
16032 0.5446353 0 16.035
16033 0.5433476 0 16.036
16034 0.5421404 0 16.037
16035 0.5410088 0 16.038
16036 0.5399478 0 16.039
16037 0.5389531 0 16.04
16038 0.5380207 0 16.041
16039 0.5371464 0 16.042
16040 0.5363268 0 16.043
16041 0.5355585 0 16.044
16042 0.5348381 0 16.045
16043 0.5352795 0 16.046
16044 0.5356933 0 16.047
16045 0.5360811 0 16.04799
16046 0.5364449 0 16.04899
16047 0.5367858 0 16.04999
16048 0.5371054 0 16.05099
16049 0.5374051 0 16.05199
16050 0.537686 0 16.05299
16051 0.5379494 0 16.05399
16052 0.5381963 0 16.05499
16053 0.5384278 0 16.05599
16054 0.5386448 0 16.05699
16055 0.5388482 0 16.05799
16056 0.539039 0 16.05899
16057 0.5392178 0 16.05999
16058 0.5393854 0 16.06099
16059 0.5395426 0 16.06199
16060 0.5396899 0 16.06299
16061 0.5398279 0 16.06399
16062 0.5399575 0 16.06499
16063 0.5418875 0 16.06598
16064 0.5436969 0 16.06698
16065 0.5453931 0 16.06798
16066 0.5469835 0 16.06898
16067 0.5484744 0 16.06998
16068 0.549872 0 16.07098
16069 0.5511823 0 16.07198
16070 0.5524108 0 16.07298
16071 0.5535625 0 16.07398
16072 0.5546421 0 16.07498
16073 0.5556544 0 16.07598
16074 0.5566033 0 16.07698
