"tvely-rfile"
"Time Step" "tvely etc.."
("Time Step" "tvely(t1)" "tvely(t2)" "flow-time")
8326 -0.4976803 0 8.32592
8327 -0.4971531 0 8.326921
8328 -0.4966589 0 8.327921
8329 -0.4961956 0 8.328921
8330 -0.4957611 0 8.329922
8331 -0.4953538 0 8.330922
8332 -0.4949721 0 8.331923
8333 -0.4946141 0 8.332923
8334 -0.4942786 0 8.333923
8335 -0.4939639 0 8.334924
8336 -0.493669 0 8.335924
8337 -0.4933925 0 8.336925
8338 -0.4931333 0 8.337925
8339 -0.4928903 0 8.338925
8340 -0.4926625 0 8.339926
8341 -0.4924489 0 8.340926
8342 -0.4922486 0 8.341927
8343 -0.4904526 0 8.342927
8344 -0.4887689 0 8.343927
8345 -0.4871904 0 8.344928
8346 -0.4857105 0 8.345928
8347 -0.4843231 0 8.346929
8348 -0.4830225 0 8.347929
8349 -0.4818031 0 8.348929
8350 -0.48066 0 8.34993
8351 -0.4795883 0 8.35093
8352 -0.4785835 0 8.351931
8353 -0.4776416 0 8.352931
8354 -0.4767585 0 8.353931
8355 -0.4759307 0 8.354932
8356 -0.4751545 0 8.355932
8357 -0.4744269 0 8.356933
8358 -0.4737448 0 8.357933
8359 -0.4731053 0 8.358933
8360 -0.4725057 0 8.359934
8361 -0.4719437 0 8.360934
8362 -0.4714167 0 8.361935
8363 -0.4686826 0 8.362935
8364 -0.4661194 0 8.363935
8365 -0.4637164 0 8.364936
8366 -0.4614635 0 8.365936
8367 -0.4593515 0 8.366937
8368 -0.4573715 0 8.367937
8369 -0.4555152 0 8.368937
8370 -0.4537749 0 8.369938
8371 -0.4521435 0 8.370938
8372 -0.4506139 0 8.371939
8373 -0.44918 0 8.372939
8374 -0.4478357 0 8.37394
8375 -0.4465754 0 8.37494
8376 -0.4453939 0 8.37594
8377 -0.4442862 0 8.376941
8378 -0.4432478 0 8.377941
8379 -0.4422742 0 8.378942
8380 -0.4413616 0 8.379942
8381 -0.4405059 0 8.380942
8382 -0.4397037 0 8.381943
8383 -0.4365586 0 8.382943
8384 -0.43361 0 8.383944
8385 -0.4308457 0 8.384944
8386 -0.4282542 0 8.385944
8387 -0.4258247 0 8.386945
8388 -0.423547 0 8.387945
8389 -0.4214116 0 8.388946
8390 -0.4194098 0 8.389946
8391 -0.417533 0 8.390946
8392 -0.4157735 0 8.391947
8393 -0.414124 0 8.392947
8394 -0.4125776 0 8.393948
8395 -0.4111279 0 8.394948
8396 -0.4097687 0 8.395948
8397 -0.4084945 0 8.396949
8398 -0.4073 0 8.397949
8399 -0.4061801 0 8.39895
8400 -0.4051301 0 8.39995
8401 -0.4041459 0 8.40095
8402 -0.4032231 0 8.401951
8403 -0.4011311 0 8.402951
8404 -0.3991698 0 8.403952
