Name;Episode;Step;Drag;lift
Simu_M005_NbAct100_lift;1;3520;0.1392768;0.0539886
Simu_M005_NbAct100_lift;1;3540;0.1380901;0.04584832
Simu_M005_NbAct100_lift;1;3560;0.1372455;0.03555338
Simu_M005_NbAct100_lift;1;3580;0.1371703;0.02465172
Simu_M005_NbAct100_lift;1;3600;0.1380696;0.01487547
Simu_M005_NbAct100_lift;1;3620;0.1397407;0.007703165
Simu_M005_NbAct100_lift;1;3640;0.1416203;0.004269129
Simu_M005_NbAct100_lift;1;3660;0.1429409;0.005357131
Simu_M005_NbAct100_lift;1;3680;0.1432796;0.01061745
Simu_M005_NbAct100_lift;1;3700;0.1429724;0.01907218
Simu_M005_NbAct100_lift;1;3720;0.1423884;0.0294904
Simu_M005_NbAct100_lift;1;3740;0.1418418;0.04029502
Simu_M005_NbAct100_lift;1;3760;0.1414652;0.04991193
Simu_M005_NbAct100_lift;1;3780;0.1412021;0.05677434
Simu_M005_NbAct100_lift;1;3800;0.14087;0.0597521
Simu_M005_NbAct100_lift;1;3820;0.1402186;0.05840077
Simu_M005_NbAct100_lift;1;3840;0.1391214;0.05308574
Simu_M005_NbAct100_lift;1;3860;0.1379483;0.04459004
Simu_M005_NbAct100_lift;1;3880;0.1371874;0.03411599
Simu_M005_NbAct100_lift;1;3900;0.1372325;0.02326039
Simu_M005_NbAct100_lift;1;3920;0.1382464;0.01370993
Simu_M005_NbAct100_lift;1;3940;0.1399861;0.00698649
Simu_M005_NbAct100_lift;1;3960;0.1418579;0.004188106
Simu_M005_NbAct100_lift;1;3980;0.1430329;0.005834266
Simu_M005_NbAct100_lift;1;4000;0.1432654;0.01156652
Simu_M005_NbAct100_lift;1;4020;0.1429003;0.02035615
Simu_M005_NbAct100_lift;1;4040;0.1423044;0.03092566
Simu_M005_NbAct100_lift;1;4060;0.1417874;0.04170573
Simu_M005_NbAct100_lift;1;4080;0.1414229;0.05100418
Simu_M005_NbAct100_lift;1;4100;0.1411681;0.0573954
Simu_M005_NbAct100_lift;1;4120;0.140794;0.05975979
Simu_M005_NbAct100_lift;1;4140;0.1400918;0.05792803
